Name	Date	Pages	Size	Hyperlinks	Pictures	Other_links	Error_links	k__3D_	k__IDEF	k__actor	k__net	k_Actor_Prolog	k_DNA	k_ILP	k_Internet_agent	k_JVM	k_Java_	k_Java3d	k_NLP	k_OOP	k_RDF	k_SADT	k_VRML	k_Web	k_Web_agent	k_Web_tool	k_XML	k_agent	k_artificial_intelligence	k_compilation	k_concurr	k_constraints	k_constructive_negation	k_coordination	k_data_mining	k_debugging	k_deductive_database	k_flow_analysis	k_formalism	k_higher_order	k_inductive	k_knowledge	k_language	k_linear_logic	k_memory_management	k_mobility	k_modes	k_modifiable_reasoning	k_molecular_biology	k_monad	k_monotonic	k_natural_language	k_object	k_object-oriented	k_parallel	k_perturbation	k_program_analysis	k_program_transformation	k_programming	k_programming_technique	k_protein	k_refinement	k_semantic	k_semantic_Web	k_semantic_foundation	k_software_engineering	k_speculative	k_theory	k_types	k_validation	k_verification	k_virtual_machine	k_visual	k_visual_program	
Abreu	7/9/2012	4	41809	27	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hermenegildo	6/8/2011	1	6187	8	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	
Carro	20/9/2011	14	158083	383	30	78	6	0	0	0	22	0	0	4	0	0	0	0	0	0	0	0	1	13	0	0	1	2	0	0	4	1	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	6	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	
Ciao Prolog	21/3/2012	23	308339	14	44	28	1	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	0	24	0	0	2	10	0	36	14	12	0	0	0	13	0	0	0	0	0	0	31	0	0	0	28	0	0	0	0	0	38	4	32	0	4	8	45	0	0	0	4	0	0	0	0	0	26	0	2	0	4	0	
BinProlog	22/1/2007	8	34067	11	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	24	8	1	0	1	0	0	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amzi Prolog	16/5/2011	44	375738	21	96	14	19	0	0	0	3	0	0	0	0	0	0	0	0	32	0	0	0	12	0	0	23	1	17	0	0	3	0	0	0	7	0	0	0	0	0	184	79	0	0	0	1	0	0	0	0	3	30	3	0	0	0	0	54	0	0	0	4	0	0	0	0	0	10	0	2	12	0	0	
Curry	21/3/2012	23	392467	112	53	24	0	0	0	0	2	0	0	0	0	0	0	0	0	2	315	0	0	205	0	0	170	0	0	2	11	7	0	0	0	26	0	0	1	2	0	1	49	0	0	0	1	0	0	1	0	0	5	1	0	0	1	0	82	0	0	0	5	0	0	0	0	1	1	0	0	1	3	0	
Huang	1/10/2011	1	3738	10	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Davison	1/1/1970	32	164077	136	130	42	0	2	0	1	11	0	0	0	0	0	11	4	0	0	0	0	0	9	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	4	0	1	0	4	0	
Guo	13/12/2011	1	18520	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
